"slug","billing_period","type","regular_price","promotion_price","product_discount_id","contract_period","translation_key_id","introduction_price","orderable","action_period","action_period_price","is_default"
extension_africa,24,registration,6198,,,24,,,true,,,false
extension_africa,36,registration,9297,,,36,,,true,,,false
extension_ag,12,registration,10999,,,12,,,true,,,false
extension_ag,24,registration,21998,,,24,,,true,,,false
extension_ag,36,registration,32997,,,36,,,true,,,false
extension_agency,12,registration,2999,,,12,,,true,,,false
extension_agency,24,registration,5998,,,24,,,true,,,false
extension_agency,36,registration,8997,,,36,,,true,,,false
extension_agrar.hu,24,registration,12399,,,24,,,true,,,true
extension_ai,12,registration,19999,,,12,,,true,,,false
extension_ai,24,registration,39998,,,24,,,true,,,false
extension_ai,36,registration,59997,,,36,,,true,,,false
extension_airforce,12,registration,10499,,,12,,,true,,,false
extension_airforce,24,registration,20998,,,24,,,true,,,false
extension_airforce,36,registration,31497,,,36,,,true,,,false
extension_al,12,registration,8499,,,12,,,true,,,false
extension_al,24,registration,15000,,,24,,,true,,,false
extension_al,36,registration,25497,,,36,,,true,,,false
extension_am,12,registration,6199,,,12,,,true,,,false
extension_am,24,registration,12398,,,24,,,true,,,false
extension_am,36,registration,18597,,,36,,,true,,,false
extension_amsterdam,12,registration,6899,,,12,,,true,,,false
extension_amsterdam,24,registration,12398,,,24,,,true,,,false
extension_amsterdam,36,registration,18597,,,36,,,true,,,false
extension_an,12,registration,18471,,,12,,,true,,,true
extension_apartments,12,registration,5999,,,12,,,true,,,false
extension_apartments,24,registration,11998,,,24,,,true,,,false
extension_apartments,36,registration,17997,,,36,,,true,,,false
extension_app,12,registration,4899,,,12,,,true,,,false
extension_app,24,registration,8398,,,24,,,true,,,false
extension_app,36,registration,12597,,,36,,,true,,,false
extension_archi,12,registration,7999,,,12,,,true,,,false
extension_archi,24,registration,15997,,,24,,,true,,,false
extension_archi,36,registration,23997,,,36,,,true,,,false
extension_army,12,registration,3099,,,12,,,true,,,false
extension_army,24,registration,6198,,,24,,,true,,,false
extension_army,36,registration,9297,,,36,,,true,,,false
extension_art,12,registration,3199,,,12,,,true,,,false
extension_art,24,registration,5118,,,24,,,true,,,false
extension_art,36,registration,7497,,,36,,,true,,,false
extension_arts.ro,12,registration,1699,,,12,,,true,,,true
extension_as,12,registration,15399,,,12,,,true,,,false
extension_as,24,registration,30750,,,24,,,true,,,false
extension_as,36,registration,46197,,,36,,,true,,,false
extension_asia,12,registration,3999,,,12,,,true,,,false
extension_asia,24,registration,7998,,,24,,,true,,,false
extension_asia,36,registration,11997,,,36,,,true,,,false
extension_associates,12,registration,3099,,,12,,,true,,,false
extension_associates,24,registration,6198,,,24,,,true,,,false
extension_associates,36,registration,9297,,,36,,,true,,,false
extension_at,12,registration,4899,,,12,,,true,,,false
extension_at,24,registration,8398,,,24,,,true,,,false
extension_at,36,registration,12597,,,36,,,true,,,false
extension_attorney,12,registration,5099,,,12,,,true,,,false
extension_attorney,24,registration,8798,,,24,,,true,,,false
extension_attorney,36,registration,13197,,,36,,,true,,,false
extension_au,12,registration,2000,,,12,,,true,,,false
extension_au,24,registration,4000,,,24,,,true,,,false
extension_au,36,registration,6000,,,36,,,true,,,false
extension_au.com,24,registration,12397,,,24,,,true,,,true
extension_auction,12,registration,3999,,,12,,,true,,,false
extension_auction,24,registration,7998,,,24,,,true,,,false
extension_auction,36,registration,11997,,,36,,,true,,,false
extension_audio,12,registration,18999,,,12,,,true,,,false
extension_audio,24,registration,37998,,,24,,,true,,,false
extension_audio,36,registration,56997,,,36,,,true,,,false
extension_auto,12,registration,266499,,,12,,,true,,,false
extension_auto,24,registration,532998,,,24,,,true,,,false
extension_auto,36,registration,799497,,,36,,,true,,,false
extension_autos,12,registration,7699,,,12,,,true,,,false
extension_autos,24,registration,15397,,,24,,,true,,,false
extension_autos,36,registration,23097,,,36,,,true,,,false
extension_ax,12,registration,6199,,,12,,,true,,,false
extension_ax,24,registration,12398,,,24,,,true,,,false
extension_ax,36,registration,18597,,,36,,,true,,,false
extension_az,12,registration,38499,,,12,,,true,,,false
